kl_ip,kl_threat_score,kl_category,kl_first_seen,kl_popularity
8.39.228.5,74,spam,21.12.2019 14:50,2
2.186.15.201,74,spam,26.12.2019 06:00,2
5.62.43.147,74,spam,16.12.2019 22:10,2
14.161.44.52,74,spam,29.02.2020 06:30,2
5.180.105.254,74,spam,05.04.2020 05:50,2
1.238.117.39,74,spam,09.03.2018 13:40,2
1.236.82.183,74,spam,26.12.2019 10:30,2
1.244.192.8,74,spam,12.11.2019 13:50,2
2.82.211.178,74,spam,23.02.2020 10:00,2
5.180.105.219,74,spam,07.09.2019 18:20,2
5.251.239.33,74,spam,23.04.2019 21:40,2
2.45.216.170,74,spam,07.04.2020 02:00,2
2.31.172.91,74,spam,06.04.2020 22:00,2
5.204.36.60,74,spam,12.04.2020 09:50,2
5.173.195.47,74,spam,21.03.2020 14:00,2
2.117.211.10,74,spam,26.06.2016 23:20,2
1.246.49.217,74,spam,24.01.2019 13:02,2
2.82.120.131,74,spam,21.09.2019 18:10,2
2.80.66.224,74,spam,09.03.2020 14:00,2
2.136.187.3,74,spam,06.04.2020 22:00,2
14.39.167.200,74,spam,22.04.2019 09:50,2
2.83.237.34,74,spam,30.03.2019 18:10,2
5.53.125.216,74,spam,16.08.2019 22:20,2
5.12.22.180,74,spam,07.04.2020 21:50,2
5.62.41.58,74,spam,19.06.2019 06:10,2
5.53.125.206,74,spam,07.08.2019 22:10,2
5.172.235.44,74,spam,27.11.2018 17:40,2
2.44.160.20,74,spam,29.03.2020 17:50,2
5.9.178.67,74,spam,25.06.2019 10:20,2
5.101.51.141,74,spamand malware,15.09.2019 02:20,2
2.232.249.97,74,spam,22.03.2019 01:50,2
2.183.184.8,74,spam,28.02.2020 22:30,2
1.161.241.239,74,spam,11.04.2020 17:50,2
5.180.105.233,74,spam,07.04.2020 13:50,2
1.119.145.114,74,spam,30.12.2018 05:40,2
13.53.149.130,74,spam,08.04.2020 06:10,2
5.101.50.182,74,spam,26.12.2019 22:40,2
2.110.184.235,74,spam,25.01.2019 17:40,2
14.169.173.38,74,spam,16.05.2016 12:00,2
14.162.208.188,74,spam,07.03.2020 14:00,2
5.101.51.104,74,spamand malware,19.08.2019 16:00,2
5.101.51.148,74,spam,30.09.2019 22:20,2
14.161.7.15,74,spam,29.12.2018 01:50,2
5.44.173.47,74,spam,27.10.2018 01:40,2
1.53.207.131,74,spam,07.04.2020 02:00,2
5.55.190.94,74,spam,27.03.2020 02:00,2
2.134.56.217,74,spam,16.03.2020 06:00,2
2.42.56.18,74,spam,06.04.2020 02:00,2
2.89.161.198,74,spam,07.04.2020 13:50,2
13.78.135.207,74,spam,09.04.2020 13:50,2
5.53.124.100,74,spam,24.07.2019 10:10,2
1.53.217.217,74,spam,14.11.2016 02:40,2
2.32.2.36,74,spam,20.03.2020 22:00,2
2.34.164.216,74,spam,06.04.2020 17:50,2
1.23.194.87,74,spam,28.01.2019 09:40,2
14.1.226.65,74,spam,06.04.2020 22:00,2
1.39.76.175,74,spam,07.04.2020 18:00,2
5.53.236.180,74,spam,06.04.2020 17:50,2
5.172.237.183,74,spam,09.06.2016 10:40,2
5.90.143.111,74,spam,07.04.2020 13:50,2
5.76.195.66,74,spam,15.03.2020 22:00,2
1.53.52.105,74,spam,11.01.2017 10:50,2
1.53.56.37,74,spam,25.02.2020 15:00,2
1.23.151.83,74,spam,20.07.2018 17:40,2
14.162.91.33,74,spam,14.03.2020 18:00,2
14.169.210.35,74,spam,01.02.2020 18:00,2
14.162.220.43,74,spam,18.07.2016 15:00,2
14.169.86.246,74,spam,20.12.2016 09:10,2
5.251.59.154,74,spam,06.04.2020 06:00,2
5.53.236.198,74,spam,18.02.2019 17:50,2
5.53.125.246,74,spam,21.08.2019 10:10,2
1.53.157.47,74,spam,23.03.2020 10:10,2
2.35.119.6,74,spam,06.03.2020 22:10,2
5.101.51.75,74,spam,30.08.2019 22:20,2
5.249.78.109,74,spam,24.07.2019 18:20,2
