kl_hash,kl_first_seen,kl_popularity,kl_threat
650CBA6218102AC83606E7D76BBD39D40972E9D9,01.07.2017 08:13,2,Trojan-Spy.Win32.Zbot
ED118396A8B1883B4AD66B637D4A77EE1B18BAF7,31.05.2019 13:46,2,Trojan.VBS.SAgent
A95521AEC051CAC0E1371FCE10D21BE96979276A,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
5F40E44671332A18271581EE07ED83D35AEAC65F,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
D16DDAB7DF3DF9859B3F9C9791C41EDCF0CA92A9,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
B3866E0D4464BE5E3628A5EE92829E916EB5C55C,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
62C8D2B937EECCCC3E671B056F545275A5474F33,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
41560291A422686ED23DEC0340DD06001C68FA1B,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
16DB1130107081DF512A024438275A236130D2D6,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
9B40C7CF6F5F10FF852A34F91151F8EE6D62D1F7,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
B39570BC553E6EFBA7E50E1E80158072AA70714C,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
20AB15809C1908D6F6C6C87CCF8D5CF843734673,25.03.2019 18:04,2,Trojan-PSW.Win32.Coins
2CF826157D32DE82C2A2E91193E20D1FF7B2BB2F,13.11.2018 17:49,2,CnC.Win32.Generic
3508D14E3EEB3CB8335D31D9E5CC2FA6B4E16BA0,13.11.2018 17:49,2,CnC.Win32.Generic
23E73A552B8C6D410357D7DD54EEF66B67BB1B34,13.11.2018 17:49,2,CnC.Win32.Generic
C366574ED8A2749B4319CCE034440F76B7D3979C,13.11.2018 17:49,2,CnC.Win32.Generic
141B1F59762A0F031EE2B66DAD1C319023C00AA8,13.11.2018 17:49,2,CnC.Win32.Generic
9E940333C1C5443CE2A0193697C0B76C3C468EC7,13.11.2018 17:49,2,CnC.Win32.Generic
1F277DE0B9D313B3241F9C841E989736489F4BB3,13.11.2018 17:49,2,CnC.Win32.Generic
F078BF6B5D3F1E6BB161795DCED6B073A744E9C1,13.11.2018 17:49,2,CnC.Win32.Generic
